source_file,authors,year,title,venue,doi
14.txt,"Pengwei Pan, Yu Liu, Jun Ma, Jianfeng Qu, Wen Hua, and Yanmei Kang",2025,MRCLQR: A Framework for Logical Query Reasoning Based on Multi-information Relation Constraints,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),https://doi.org/10.1145/3746252.3761221
14.txt,"Long Duc Hoang Nguyen, Thuong Cong Le, Ha Thanh Le, and Duyen Thi Ngo",2024,Post-processing Workflow for 3D Vietnamese Historical Printing Woodblocks Restoration from 2D prints,Proceedings of the 2024 9th International Conference on Intelligent Information Technology (ICIIT '24),https://doi.org/10.1145/3654522.3654574
14.txt,"Xi Wang, Kathleen Danielle Ang, and Faramarz Famil Samavati",2021,4D Surface Mesh Reconstruction from Segmented Cardiac Images using Subdivision Surfaces,Proceedings of the 8th International Conference on Bioinformatics Research and Applications (ICBRA '21),https://doi.org/10.1145/3487027.3487036
14.txt,"Jiayi Kong, Chen Zong, Jun Luo, Shiqing Xin, Fei Hou, Hanqing Jiang, Chen Qian, and Ying He",2026,Quasi-Medial Distance Field (Q-MDF): A Robust Method for Approximating and Discretizing Neural Medial Axes,ACM Trans. Graph.,https://doi.org/10.1145/3795772
14.txt,"Muqing Zheng, Ang Li, Tamás Terlaky, and Xiu Yang",2023,A Bayesian Approach for Characterizing and Mitigating Gate and Measurement Errors,ACM Transactions on Quantum Computing,https://doi.org/10.1145/3563397
14.txt,"Qijia Huang, Pierre Kraemer, Sylvain Thery, and Dominique Bechmann",2024,Dynamic Skeletonization via Variational Medial Axis Sampling,SIGGRAPH Asia 2024 Conference Papers (SA '24),https://doi.org/10.1145/3680528.3687678
14.txt,"Jindi Wu, Tianjie Hu, and Qun Li",2026,A Fine-Grained and Efficient Reliability Analysis Framework for Noisy Quantum Circuits,Proc. ACM Meas. Anal. Comput. Syst.,https://doi.org/10.1145/3788085
14.txt,"Chau D. M. Nguyen, Tim French, Michael Stewart, Melinda Hodkiewicz, and Wei Liu",2025,Spherical Embeddings for Atomic Relation Projection Reaching Complex Logical Query Answering,Proceedings of the ACM on Web Conference 2025 (WWW '25),https://doi.org/10.1145/3696410.3714747
14.txt,"Hongbo Li, Haikuan Zhu, Sikai Zhong, Ningna Wang, Cheng Lin, Xiaohu Guo, Shiqing Xin, Wenping Wang, Jing Hua, and Zichun Zhong",2024,NASM: Neural Anisotropic Surface Meshing,SIGGRAPH Asia 2024 Conference Papers (SA '24),https://doi.org/10.1145/3680528.3687700
14.txt,"Marie-Julie Rakotosaona, Noam Aigerman, Niloy J. Mitra, Maks Ovsjanikov, and Paul Guerrero",2021,Differentiable surface triangulation,ACM Trans. Graph.,https://doi.org/10.1145/3478513.3480554
14.txt,"Jing-En Jiang, Hanxiao Wang, Mingyang Zhao, Dong-Ming Yan, Shuangmin Chen, Shiqing Xin, Changhe Tu, and Wenping Wang",2025,DeFillet: Detection and Removal of Fillet Regions in Polygonal CAD Models,ACM Trans. Graph.,https://doi.org/10.1145/3731166
14.txt,"Zhongtian Zheng, Tongtong Wang, Qijia Feng, Zherong Pan, Xifeng Gao, and Kui Wu",2024,Proxy Asset Generation for Cloth Simulation in Games,ACM Trans. Graph.,https://doi.org/10.1145/3658177
14.txt,"Gabriel Meynet, Jean Claude Iehl, Johanna Delanoy, Guillaume Lavoué, and Florent Dupont",2024,A Workload Prediction Model for 3D Textured Meshes in Webgl Context,Proceedings of the 29th International ACM Conference on 3D Web Technology (Web3D '24),https://doi.org/10.1145/3665318.3677156
14.txt,Arijit Khan,2023,Knowledge Graphs Querying,SIGMOD Rec.,https://doi.org/10.1145/3615952.3615956
14.txt,"Ruili Wang, Zhiyong Wang, Jiaying Liu, Alberto del Bimbo, Jun Zhou, Anup Basu, and Min Xu (Eds.)",2024,Proceedings of the 6th ACM International Conference on Multimedia in Asia,"Association for Computing Machinery, New York, NY, USA",
14.txt,Siyuan Niu and Aida Todri-Sanial,2022,"How parallel circuit execution can be useful for NISQ computing? In Proceedings of the 2022 Conference &amp; Exhibition on Design, Automation &amp; Test in Europe (DATE '22)","European Design and Automation Association, Leuven, BEL, 1065–1070",
